Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #,Expense type
DEBIT,10/2/2017,BRAZILIAN MARKET LONG BRANCH NJ      080223  09/30,-28.76,DEBIT_CARD,15371.08,,Personal
DEBIT,10/2/2017,PRIME LIQUORS LONG BRANCH NJ                 09/29,-75.14,DEBIT_CARD,15434.94,,Personal
,4/19/2724,,-541.16,,92287.82,Personal Total,-541.16
CHECK,10/2/2017,CHECK 1541  ,-3000,CHECK_PAID,3172.79,1541,Subcontractor
CHECK,10/2/2017,CHECK 1544  ,-3600,CHECK_PAID,6172.79,1544,Subcontractor
CHECK,10/2/2017,CHECK 1543  ,-4080,CHECK_PAID,9772.79,1543,Subcontractor
,4/8/2253,,-10680,,19118.37,Subcontractor Total,-10680
DEBIT,10/2/2017,Online Transfer to CHK ...1290 transaction#: 6559238084 10/02,-75,ACCT_XFER,14412.81,,Transfers
DEBIT,10/2/2017,Online Transfer to CHK ...9516 transaction#: 6559237119 10/02,-200,ACCT_XFER,14487.81,,Transfers
,7/6/2135,,-275,,28900.62,Transfers Total,-275
DEBIT,10/2/2017,NWS NJT NY PENN STA980 NEW YORK NJ   976781  10/02,-16.25,DEBIT_CARD,13952.79,,Transportation
,10/2/2017,,-16.25,,13952.79,Transportation Total,-16.25
DEBIT,10/2/2017,ATM WITHDRAWAL                       004260  10/02160 BRIGH,-100,ATM,13852.79,,Withdraws
DEBIT,10/2/2017,ATM WITHDRAWAL                       003597  10/01160 BRIGH,-360,ATM,14687.81,,Withdraws
,7/6/2135,,-460,,28540.6,Withdraws Total,-460
DEBIT,10/3/2017,NJMVC EATONTOWN EATONTOWN NJ                 10/02,-24,DEBIT_CARD,2852.89,,Auto Other
,10/3/2017,,-24,,2852.89,Auto Other Total,-24
CHECK,10/3/2017,CHECK 1542  ,-900,CHECK_PAID,1428.79,1542,Material
DEBIT,10/3/2017,THE HOME DEPOT 0907 W LONG BRANCH NJ 071316  10/03,-74.1,DEBIT_CARD,2778.79,,Material
,7/8/2135,,-974.1,,4207.58,Material Total,-974.1
DEBIT,10/3/2017,Online Transfer to CHK ...1290 transaction#: 6565342659 10/03,-150,ACCT_XFER,2328.79,,Transfers
,10/3/2017,,-150,,2328.79,Transfers Total,-150
DEBIT,10/3/2017,CARIBE PARADISE TRUST 619-683-2470 NV        10/02,-255.35,DEBIT_CARD,2876.89,,Travel
,10/3/2017,,-255.35,,2876.89,Travel Total,-255.35
DEBIT,10/3/2017,ATM WITHDRAWAL                       004564  10/03160 BRIGH,-300,ATM,2478.79,,Withdraws
,10/3/2017,,-300,,2478.79,Withdraws Total,-300
DEBIT,10/4/2017,GEICO  *AUTO MACON DC                        10/03,-176.77,DEBIT_CARD,966.38,,Auto Insurance
,10/4/2017,,-176.77,,966.38,Auto Insurance Total,-176.77
DEBIT,10/4/2017,DEFARIA CAR & TRUCK LONG BRANCH NJ           10/03,-17,DEBIT_CARD,949.38,,Auto Rental
,10/4/2017,,-17,,949.38,Auto Rental Total,-17
DEBIT,10/4/2017,INSUFFICIENT FUNDS FEE FOR A $50.00 ITEM - DETAILS: SYNCHRONY BANK   PAYMENT                    PPD ID: 1061537262,-34,FEE_TRANSACTION,-873.65,,Bank Fee
DEBIT,10/4/2017,INSUFFICIENT FUNDS FEE FOR A $591.03 ITEM - DETAILS: FIRSTENERGY OPCO FE ECHECK                  PPD ID: 1341968288,-34,FEE_TRANSACTION,-839.65,,Bank Fee
DEBIT,10/4/2017,INSUFFICIENT FUNDS FEE FOR CHECK #1546 IN THE AMOUNT OF $880.00,-34,FEE_TRANSACTION,-805.65,,Bank Fee
,4/14/2253,,-102,,-2518.95,Bank Fee Total,-102
DEBIT,10/4/2017,DEFARIA HARDWOOD FLOOR LONG BRANCH NY        10/03,-285.64,DEBIT_CARD,1143.15,,Material
,10/4/2017,,-285.64,,1143.15,Material Total,-285.64
DEBIT,10/4/2017,SYNCHRONY BANK   PAYMENT                    PPD ID: 1061537262,-50,ACH_DEBIT,-771.65,,Office Expense
,10/4/2017,,-50,,-771.65,Office Expense Total,-50
CHECK,10/4/2017,CHECK 1546  ,-880,CHECK_PAID,-130.62,1546,Travel
,10/4/2017,,-880,,-130.62,Travel Total,-880
DEBIT,10/4/2017,FIRSTENERGY OPCO FE ECHECK                  PPD ID: 1341968288,-591.03,ACH_DEBIT,-721.65,,Utilities
,10/4/2017,,-591.03,,-721.65,Utilities Total,-591.03
DEBIT,10/4/2017,ATM WITHDRAWAL                       004831  10/04160 BRIGH,-200,ATM,749.38,,Withdraws
,10/4/2017,,-200,,749.38,Withdraws Total,-200
DEBIT,10/5/2017,DEFARIA CAR & TRUCK LONG BRANCH NJ           10/04,-105,DEBIT_CARD,212.53,,Auto Rental
,10/5/2017,,-105,,212.53,Auto Rental Total,-105
DEBIT,10/5/2017,SURF TACO LONG BRANCH LONG BRANCH NJ         10/03,-8.82,DEBIT_CARD,317.53,,Meals & Entertain
,10/5/2017,,-8.82,,317.53,Meals & Entertain Total,-8.82
DEBIT,10/5/2017,USPS.COM MOVER'S GUID 800-238-3150 TN        10/04,-1,DEBIT_CARD,211.53,,Office Expense
,10/5/2017,,-1,,211.53,Office Expense Total,-1
CREDIT,10/5/2017,Online Transfer from CHK ...8235 transaction#: 6570781408,1200,ACCT_XFER,326.35,,Transfers
,10/5/2017,,1200,,326.35,Transfers Total,1200
DEBIT,10/6/2017,DEFARIA HARDWOOD FLOOR LONG BRANCH NY        10/04,-142.82,DEBIT_CARD,68.71,,Material
,10/6/2017,,-142.82,,68.71,Material Total,-142.82
CREDIT,10/10/2017,ATM CHECK DEPOSIT 10/09 1745 BROADHOLLOW RD FARMINGDALE NY,3040,ATM_DEPOSIT,3108.71,,ATM Deposit
,10/10/2017,,3040,,3108.71,ATM Deposit Total,3040
DEBIT,10/10/2017,"RETURNED ITEM FEE FOR AN UNPAID CHECK #1545 IN THE AMOUNT OF $3,000.00",-34,FEE_TRANSACTION,-1559.29,,Bank Fee
DEBIT,10/10/2017,"INSUFFICIENT FUNDS FEE FOR CHECK #1547 IN THE AMOUNT OF $4,500.00",-34,FEE_TRANSACTION,-1525.29,,Bank Fee
,7/22/2135,,-68,,-3084.58,Bank Fee Total,-68
CHECK,10/10/2017,CHECK 1547  ,-4500,CHECK_PAID,-1491.29,1547,Subcontractor
,10/10/2017,,-4500,,-1491.29,Subcontractor Total,-4500
DEBIT,10/10/2017,Online Transfer to CHK ...1290 transaction#: 6582094439 10/10,-100,ACCT_XFER,3008.71,,Transfers
,10/10/2017,,-100,,3008.71,Transfers Total,-100
DEBIT,10/12/2017,PROG GARDEN ST   INS PREM                   PPD ID: 9409348088,-269.66,ACH_DEBIT,-1828.95,,Auto Insurance
,10/12/2017,,-269.66,,-1828.95,Auto Insurance Total,-269.66
DEBIT,10/12/2017,INSUFFICIENT FUNDS FEE FOR A $269.66 ITEM - DETAILS: PROG GARDEN ST   INS PREM                   PPD ID: 9409348088,-34,FEE_TRANSACTION,-1862.95,,Bank Fee
,10/12/2017,,-34,,-1862.95,Bank Fee Total,-34
DSLIP,10/13/2017,DEPOSIT  ID NUMBER 659251,5000,DEPOSIT,3137.05,,Deposit
,10/13/2017,,5000,,3137.05,Deposit Total,5000
DEBIT,10/13/2017,JDI*mypcbackup.com 888-8510954 MA            10/12,-11.94,DEBIT_CARD,3125.11,,Office Expense
,10/13/2017,,-11.94,,3125.11,Office Expense Total,-11.94
DEBIT,10/13/2017,ATM WITHDRAWAL                       008922  10/13160 BRIGH,-300,ATM,2825.11,,Withdraws
,10/13/2017,,-300,,2825.11,Withdraws Total,-300
DEBIT,10/16/2017,BIG M CAR WASH WESTBURY NY                   10/14,-28.23,DEBIT_CARD,1711.29,,Auto Other
,10/16/2017,,-28.23,,1711.29,Auto Other Total,-28.23
DEBIT,10/16/2017,DEFARIA CAR & TRUCK LONG BRANCH NJ           10/13,-59.5,DEBIT_CARD,2765.61,,Auto Rental
,10/16/2017,,-59.5,,2765.61,Auto Rental Total,-59.5
DEBIT,10/16/2017,INSUFFICIENT FUNDS FEE FOR A $100.00 ITEM - DETAILS: HOME DEPOT       AUTO PYMT  722434646730943 WEB ID: CITIAUTFDR,-34,FEE_TRANSACTION,-385.08,,Bank Fee
DEBIT,10/16/2017,"INSUFFICIENT FUNDS FEE FOR A $1,308.00 ITEM - DETAILS: UTICA NATIONAL   INS PREM                   PPD ID: 1150476880",-34,FEE_TRANSACTION,-351.08,,Bank Fee
DEBIT,10/16/2017,"RETURNED ITEM FEE FOR AN UNPAID CHECK #1548 IN THE AMOUNT OF $9,690.00",-34,FEE_TRANSACTION,-317.08,,Bank Fee
DEBIT,10/16/2017,NON-CHASE ATM FEE-WITH,-2.5,FEE_TRANSACTION,-283.08,,Bank Fee
,3/7/2371,,-104.5,,-1336.32,Bank Fee Total,-104.5
DEBIT,10/16/2017,OCCUPATIONAL SAFETY A 629-481-1207 FL        10/14,-79,DEBIT_CARD,1596.7,,Business Expense
,10/16/2017,,-79,,1596.7,Business Expense Total,-79
DEBIT,10/16/2017,UTICA NATIONAL   INS PREM                   PPD ID: 1150476880,-1308,ACH_DEBIT,-180.58,,Company Insurance
,10/16/2017,,-1308,,-180.58,Company Insurance Total,-1308
DEBIT,10/16/2017,CONOCO - SINGIN LONG BRANCH NJ               10/15,-30,DEBIT_CARD,1566.7,,Gas
,10/16/2017,,-30,,1566.7,Gas Total,-30
DEBIT,10/16/2017,HOME DEPOT       AUTO PYMT  722434646730943 WEB ID: CITIAUTFDR,-100,ACH_DEBIT,-280.58,,Material
DEBIT,10/16/2017,DEFARIA HARDWOOD FLOOR LONG BRANCH NY        10/14,-415.64,DEBIT_CARD,2247.97,,Material
,8/3/2135,,-515.64,,1967.39,Material Total,-515.64
DEBIT,10/16/2017,DUNKIN #338451 Q35 LONG BRANCH NJ            10/14,-2.45,DEBIT_CARD,1708.84,,Meals & Entertain
DEBIT,10/16/2017,DUNKIN #338451 Q35 LONG BRANCH NJ            10/14,-18.45,DEBIT_CARD,1739.52,,Meals & Entertain
,8/3/2135,,-20.9,,3448.36,Meals & Entertain Total,-20.9
DEBIT,10/16/2017,COURT LIQUORS LONG BRANCH NJ                 10/15,-26.71,DEBIT_CARD,1127.42,,Personal
DEBIT,10/16/2017,STOP & SHOP 2813 LONG BRANCH NJ      164817  10/15,-29.13,DEBIT_CARD,1154.13,,Personal
DEBIT,10/16/2017,FINE FARE LONG BRANCH NJ             230777  10/14,-11.37,DEBIT_CARD,1675.7,,Personal
DEBIT,10/16/2017,FINE FARE LONG BRANCH NJ             204497  10/14,-7.88,DEBIT_CARD,1687.07,,Personal
DEBIT,10/16/2017,PRIME LIQUORS LONG BRANCH NJ                 10/14,-13.89,DEBIT_CARD,1694.95,,Personal
,12/21/2488,,-88.98,,7339.27,Personal Total,-88.98
DEBIT,10/16/2017,US TREASURY TAX PA 615-730-6367 TN           10/15,-376,DEBIT_CARD,1183.26,,Taxes
DEBIT,10/16/2017,PAYUSATAX CONV. FE 615-730-6367 TN           10/15,-7.44,DEBIT_CARD,1559.26,,Taxes
,8/3/2135,,-383.44,,2742.52,Taxes Total,-383.44
DEBIT,10/16/2017,Online Transfer to CHK ...1290 transaction#: 6592262972 10/16,-490,ACCT_XFER,1757.97,,Transfers
,10/16/2017,,-490,,1757.97,Transfers Total,-490
DEBIT,10/16/2017,NON-CHASE ATM WITHDRAW               013589  10/14532 BROAD,-102,ATM,2663.61,,Withdraws
,10/16/2017,,-102,,2663.61,Withdraws Total,-102
DEBIT,10/17/2017,FOREIGN EXCHANGE RATE ADJUSTMENT FEE         10/16KARPER AL,-13.01,FEE_TRANSACTION,8577.97,,Bank Fee
DEBIT,10/17/2017,FOREIGN EXCHANGE RATE ADJUSTMENT FEE         10/16KARPER AL,-15.67,FEE_TRANSACTION,9024.93,,Bank Fee
CREDIT,10/17/2017,REFUND OF RETURNED ITEM FEE CHARGED ON 10/16/2017,34,REFUND_TRANSACTION,-283.08,,Bank Fee
CREDIT,10/17/2017,REFUND OF INSUFFICIENT FUNDS FEE CHARGED ON 10/16/2017,34,REFUND_TRANSACTION,-317.08,,Bank Fee
CREDIT,10/17/2017,REFUND OF INSUFFICIENT FUNDS FEE CHARGED ON 10/16/2017,34,REFUND_TRANSACTION,-351.08,,Bank Fee
,12/26/2488,,73.32,,16651.66,Bank Fee Total,73.32
DSLIP,10/17/2017,DEPOSIT  ID NUMBER 688187,10000,DEPOSIT,9716.92,,Deposit
,10/17/2017,,10000,,9716.92,Deposit Total,10000
DEBIT,10/17/2017,DEFARIA HARDWOOD FLOOR LONG BRANCH NY        10/16,-153.93,DEBIT_CARD,9562.99,,Material
,10/17/2017,,-153.93,,9562.99,Material Total,-153.93
DEBIT,10/17/2017,Online Transfer to CHK ...9516 transaction#: 6599840707 10/17,-200,ACCT_XFER,7327.97,,Transfers
DEBIT,10/17/2017,Online Transfer to CHK ...1290 transaction#: 6599839360 10/17,-375,ACCT_XFER,7527.97,,Transfers
DEBIT,10/17/2017,Online Transfer to CHK ...1290 transaction#: 6599838418 10/17,-375,ACCT_XFER,7902.97,,Transfers
,5/23/2253,,-950,,22758.91,Transfers Total,-950
DEBIT,10/17/2017,KARPER ALUGUEL DE VEIC BRASILIA              10/16 BR Real    1371.31 X 0.3164492 (EXCHG RTE),-433.95,DEBIT_CARD,8590.98,,Travel
DEBIT,10/17/2017,KARPER ALUGUEL DE VEIC BRASILIA              10/16 BR Real    1650.80 X 0.3164466 (EXCHG RTE),-522.39,DEBIT_CARD,9040.6,,travel
,8/5/2135,,-956.34,,17631.58,Travel Total,-956.34
DEBIT,10/17/2017,ATM WITHDRAWAL                       000583  10/17160 BRIGH,-300,ATM,8277.97,,Withdraws
,10/17/2017,,-300,,8277.97,Withdraws Total,-300
DEBIT,10/18/2017,DEFARIA CAR & TRUCK LONG BRANCH NJ           10/17,-77.61,DEBIT_CARD,11250.36,,Auto Rental
,10/18/2017,,-77.61,,11250.36,Auto Rental Total,-77.61
DSLIP,10/18/2017,DEPOSIT  ID NUMBER 688186,4000,DEPOSIT,11327.97,,Deposit
,10/18/2017,,4000,,11327.97,Deposit Total,4000
DEBIT,10/18/2017,COSTCO WHSE #0329 OCEAN NJ           548783  10/18,-335.64,DEBIT_CARD,10914.72,,Office Expense
,10/18/2017,,-335.64,,10914.72,Office Expense Total,-335.64
DEBIT,10/18/2017,FINE FARE LONG BRANCH NJ             470006  10/18,-173.22,DEBIT_CARD,10741.5,,Personal
,10/18/2017,,-173.22,,10741.5,Personal Total,-173.22
CHECK,10/18/2017,CHECK 1549  ,-9739,CHECK_PAID,1002.5,1549,Subcontractor
,10/18/2017,,-9739,,1002.5,Subcontractor Total,-9739
DEBIT,10/19/2017,Online Payment 6528028726 To DRIVE FINANCIAL 10/19,-422.35,BILLPAY,407.52,,Auto Insurance
,10/19/2017,,-422.35,,407.52,Auto Insurance Total,-422.35
DEBIT,10/19/2017,APPLEBEES 88296470045 TINTON FALLS NJ        10/18,-53.62,DEBIT_CARD,829.87,,Meals & Entertain
,10/19/2017,,-53.62,,829.87,Meals & Entertain Total,-53.62
DEBIT,10/19/2017,DS SERVICES STANDARD C 800-4928377 GA        10/18,-42.14,DEBIT_CARD,883.49,,Office Expense
,10/19/2017,,-42.14,,883.49,Office Expense Total,-42.14
DEBIT,10/19/2017,DOF PARKINGANDCAMERA TI NEW YORK NY          10/18,-75,DEBIT_CARD,927.5,,Parking
,10/19/2017,,-75,,927.5,Parking Total,-75
DEBIT,10/19/2017,NYCFINANCECONVENIENCEFE NEW YORK NY          10/18,-1.87,DEBIT_CARD,925.63,,Summons
,10/19/2017,,-1.87,,925.63,Summons Total,-1.87
DEBIT,10/20/2017,DEFARIA CAR & TRUCK LONG BRANCH NJ           10/19,-155.22,DEBIT_CARD,10712.3,,Auto Rental
,10/20/2017,,-155.22,,10712.3,Auto Rental Total,-155.22
DSLIP,10/20/2017,DEPOSIT  ID NUMBER 688185,10460,DEPOSIT,10867.52,,Deposit
,10/20/2017,,10460,,10867.52,Deposit Total,10460
DEBIT,10/20/2017,7-ELEVEN LONG BRANCH NJ              134970  10/20,-8,DEBIT_CARD,10304.3,,Meals & Entertain
,10/20/2017,,-8,,10304.3,Meals & Entertain Total,-8
DEBIT,10/20/2017,ABC*Gold s Gym 888-8279262 NJ                10/19,-96.13,DEBIT_CARD,8358.17,,Personal
,10/20/2017,,-96.13,,8358.17,Personal Total,-96.13
CHECK,10/20/2017,CHECK 1550  ,-1500,CHECK_PAID,8454.3,1550,Subcontractor
,10/20/2017,,-1500,,8454.3,Subcontractor Total,-1500
DEBIT,10/20/2017,Online Transfer to CHK ...1290 transaction#: 6607875235 10/20,-350,ACCT_XFER,9954.3,,Transfers
,10/20/2017,,-350,,9954.3,Transfers Total,-350
DEBIT,10/20/2017,ATM WITHDRAWAL                       001943  10/20160 BRIGH,-400,ATM,10312.3,,Withdraws
,10/20/2017,,-400,,10312.3,Withdraws Total,-400
DEBIT,10/23/2017,DEFARIA CAR & TRUCK LONG BRANCH NJ           10/21,-77.61,DEBIT_CARD,7807.71,,Auto Rental
DEBIT,10/23/2017,DEFARIA CAR & TRUCK LONG BRANCH NJ           10/20,-77.61,DEBIT_CARD,7966.45,,Auto Rental
,8/17/2135,,-155.22,,15774.16,Auto Rental Total,-155.22
DEBIT,10/23/2017,Financial Management Software: Monthly Service Fee,-9.95,FEE_TRANSACTION,97.47,,Computer & Internet
,10/23/2017,,-9.95,,97.47,Computer & Internet Total,-9.95
DEBIT,10/23/2017,GULF OIL 92038891 FRAMINGHAM MA              10/21,-20.86,DEBIT_CARD,7768.53,,Gas
DEBIT,10/23/2017,SHELL OIL 57542773304 WILLINGTON CT          10/21,-40.01,DEBIT_CARD,7885.32,,Gas
,8/17/2135,,-60.87,,15653.85,Gas Total,-60.87
DEBIT,10/23/2017,THE HOME DEPOT 0907 W LONG BRANCH NJ 629572  10/22,-21.34,DEBIT_CARD,7428.89,,Material
DEBIT,10/23/2017,HARBOR FREIGHT TOOLS 5 EATONTOWN NJ  832420  10/22,-145.29,DEBIT_CARD,7450.23,,Material
DEBIT,10/23/2017,DEFARIA HARDWOOD FLOOR LONG BRANCH NY        10/18,-314.11,DEBIT_CARD,8044.06,,Material
,6/10/2253,,-480.74,,22923.18,Material Total,-480.74
DEBIT,10/23/2017,DUNKIN #349427 Q35 NEW CANAAN CT             10/21,-9.54,DEBIT_CARD,7925.33,,Meals & Entertain
DEBIT,10/23/2017,DOMINO'S 4974 731-776-8887 NJ                10/20,-31.58,DEBIT_CARD,7934.87,,Meals & Entertain
,8/17/2135,,-41.12,,15860.2,Meals & Entertain Total,-41.12
DEBIT,10/23/2017,PETSMART # 1486 OCEAN NJ             089630  10/23,-12.39,DEBIT_CARD,7307.42,,Personal
DEBIT,10/23/2017,BRAZILIAN MARKET LONG BRANCH NJ              10/22,-80.5,DEBIT_CARD,7319.81,,Personal
DEBIT,10/23/2017,COURT LIQUORS LONG BRANCH NJ                 10/22,-28.58,DEBIT_CARD,7400.31,,Personal
DEBIT,10/23/2017,PEZAO CASA DE CARNES & LONG BRANCH NJ770697  10/22,-21.84,DEBIT_CARD,7595.52,,Personal
DEBIT,10/23/2017,SPIRIT HALLOWEEN 6097 609-798-0949 NJ        10/21,-80.61,DEBIT_CARD,7617.36,,Personal
DEBIT,10/23/2017,SPIRIT HALLOWEEN 6097 609-798-0949 NJ        10/21,-70.56,DEBIT_CARD,7697.97,,Personal
DEBIT,10/23/2017,FINE FARE LONG BRANCH NJ             676440  10/21,-18.32,DEBIT_CARD,7789.39,,Personal
,9/13/2724,,-312.8,,52727.78,Personal Total,-312.8
CHECK,10/23/2017,CHECK 1552  ,-6500,CHECK_PAID,107.42,1552,Subcontractor
,10/23/2017,,-6500,,107.42,Subcontractor Total,-6500
DEBIT,10/23/2017,ATM WITHDRAWAL                       005852  10/231150 BROA,-700,ATM,6607.42,,Withdraws
,10/23/2017,,-700,,6607.42,Withdraws Total,-700
DEBIT,10/24/2017,INSUFFICIENT FUNDS FEE FOR A $8.79 CARD PURCHASE WITH PIN - DETAILS: 1590541024MICHAELS STORES INC502 EATONTOWN NJ  04563310022408425,-34,FEE_TRANSACTION,-1073.26,,Bank Fee
DEBIT,10/24/2017,INSUFFICIENT FUNDS FEE FOR A $18.08 CARD PURCHASE WITH PIN - DETAILS: 2438651024RITE AID STORE - 0802 LONG BRANCH NJ 04563310022408425                                                                                           00,-34,FEE_TRANSACTION,-1039.26,,Bank Fee
DEBIT,10/24/2017,INSUFFICIENT FUNDS FEE FOR A $604.98 CARD PURCHASE - DETAILS:       1024TMOBILE*POSTPAID IVR 800-937-8997 WA 04563310023923950                                                                                           01,-34,FEE_TRANSACTION,-1005.26,,Bank Fee
DEBIT,10/24/2017,INSUFFICIENT FUNDS FEE FOR A $36.61 CARD PURCHASE - DETAILS:       1023CHILI'S EATONTOWN EATONTOWN NJ       04563310023923950                                                                                           90,-34,FEE_TRANSACTION,-971.26,,Bank Fee
DEBIT,10/24/2017,INSUFFICIENT FUNDS FEE FOR A $159.95 CARD PURCHASE - DETAILS:       1023ORC*Credit One 877-8253242 NV        04563310022408425                                                                                           01,-34,FEE_TRANSACTION,-937.26,,Bank Fee
DEBIT,10/24/2017,INSUFFICIENT FUNDS FEE FOR A $93.50 CARD PURCHASE - DETAILS:       1024COMCAST 800-COMCAST NJ               04563310022408425                                                                                           01,-34,FEE_TRANSACTION,-903.26,,Bank Fee
,11/26/2606,,-204,,-5929.56,Bank Fee Total,-204
DEBIT,10/24/2017,COMCAST 800-COMCAST NJ                       10/24,-93.5,DEBIT_CARD,-40.85,,Computer & Internet
,10/24/2017,,-93.5,,-40.85,Computer & Internet Total,-93.5
DEBIT,10/24/2017,ORC*Credit One 877-8253242 NV                10/23,-159.95,DEBIT_CARD,-200.8,,Material
,10/24/2017,,-159.95,,-200.8,Material Total,-159.95
DEBIT,10/24/2017,CHILI'S EATONTOWN EATONTOWN NJ               10/23,-36.61,DEBIT_CARD,-237.41,,Meals & Entertain
,10/24/2017,,-36.61,,-237.41,Meals & Entertain Total,-36.61
DEBIT,10/24/2017,MICHAELS STORES INC502 EATONTOWN NJ  159054  10/24,-8.79,DEBIT_CARD,-869.26,,Personal
DEBIT,10/24/2017,RITE AID STORE - 0802 LONG BRANCH NJ 243865  10/24,-18.08,DEBIT_CARD,-860.47,,Personal
,8/19/2135,,-26.87,,-1729.73,Personal Total,-26.87
DEBIT,10/24/2017,TMOBILE*POSTPAID IVR 800-937-8997 WA         10/24,-604.98,DEBIT_CARD,-842.39,,Telephone 
,10/24/2017,,-604.98,,-842.39,Telephone  Total,-604.98
DEBIT,10/24/2017,NJT NY PENN STA   0116 NEW YORK NY           10/23,-16.25,DEBIT_CARD,52.65,,Transportation
DEBIT,10/24/2017,MTA MVM*R162-79 ST NEW YORK NY               10/23,-20,DEBIT_CARD,68.9,,Transportation
DEBIT,10/24/2017,UBER   *TRIP OM62O 800-592-8996 CA           10/23,-8.57,DEBIT_CARD,88.9,,Transportation
,6/13/2253,,-44.82,,210.45,Transportation Total,-44.82
DEBIT,10/25/2017,INSUFFICIENT FUNDS FEE FOR A $10.30 CARD PURCHASE - DETAILS:       1025UPS*2959L2AAC4R 800-811-1648 GA      04563310022408425                                                                                           01,-34,FEE_TRANSACTION,-1247.1,,Bank Fee
DEBIT,10/25/2017,INSUFFICIENT FUNDS FEE FOR A $95.54 CARD PURCHASE - DETAILS:       1024DUTCH PRIME FOODS LONG BRANCH NJ     04563310022408425                                                                                           05,-34,FEE_TRANSACTION,-1213.1,,Bank Fee
,8/21/2135,,-68,,-2460.2,Bank Fee Total,-68
DEBIT,10/25/2017,UPS*2959L2AAC4R 800-811-1648 GA              10/25,-10.3,DEBIT_CARD,-1179.1,,Office Expense
,10/25/2017,,-10.3,,-1179.1,Office Expense Total,-10.3
DEBIT,10/25/2017,DUTCH PRIME FOODS LONG BRANCH NJ             10/24,-95.54,DEBIT_CARD,-1168.8,,Personal
,10/25/2017,,-95.54,,-1168.8,Personal Total,-95.54
DEBIT,10/26/2017,"INSUFFICIENT FUNDS FEE FOR CHECK #1551 IN THE AMOUNT OF $1,500.00",-34,FEE_TRANSACTION,-2781.1,,Bank Fee
,10/26/2017,,-34,,-2781.1,Bank Fee Total,-34
CHECK,10/26/2017,CHECK 1551  ,-1500,CHECK_PAID,-2747.1,1551,Subcontractor
,10/26/2017,,-1500,,-2747.1,Subcontractor Total,-1500
DEBIT,10/27/2017,DEFARIA CAR & TRUCK LONG BRANCH NJ           10/26,-155.22,DEBIT_CARD,6697.5,,Auto Rental
,10/27/2017,,-155.22,,6697.5,Auto Rental Total,-155.22
