Details,Posting Date,Description,Amount,Type,Balance,
DSLIP,11/6/2017,DEPOSIT  ID NUMBER 435515,"$3,820.00",DEPOSIT,4048.61,
,,,,,,
DEBIT,11/7/2017,INSUFFICIENT FUNDS FEE FOR A $68.15 CARD PURCHASE - DETAILS:       1106DEFARIA CAR & TRUCK LONG BRANCH NJ   04563310023923950                                                                                           01,-$34.00,FEE_TRANSACTION,-2531.24,BANK SERVICE CHARGE
DEBIT,11/7/2017,INSUFFICIENT FUNDS FEE FOR A $155.22 CARD PURCHASE - DETAILS:       1106DEFARIA CAR & TRUCK LONG BRANCH NJ   04563310023923950                                                                                           01,-$34.00,FEE_TRANSACTION,-2497.24,BANK SERVICE CHARGE
,,,-$68.00,,,
DEBIT,11/7/2017,DEFARIA CAR & TRUCK LONG BRANCH NJ           11/06,-$68.15,DEBIT_CARD,-2463.24,VAN RENTAL
DEBIT,11/7/2017,DEFARIA CAR & TRUCK LONG BRANCH NJ           11/06,-$155.22,DEBIT_CARD,-2395.09,VAN RENTAL
,,,-$223.37,,,
DEBIT,11/10/2017,ATM WITHDRAWAL                       000885  11/10160 BRIGH,-$200.00,ATM,6651,PETTY CASH
,,,,,,
DEBIT,11/10/2017,STOP & SHOP 2813 LONG BRANCH NJ      400452  11/10,-$17.76,DEBIT_CARD,6851,MEAL AND ENTRETAIMENT
,,,,,,
DSLIP,11/10/2017,DEPOSIT  ID NUMBER 464513,"$9,400.00",DEPOSIT,6868.76,
,,,,,,
DEBIT,11/13/2017,NON-CHASE ATM FEE-WITH,-$2.50,FEE_TRANSACTION,3761.47,BANK SERVICE FEE
DEBIT,11/13/2017,NON-CHASE ATM WITHDRAW               000584  11/13570 JOLIN,-$201.75,ATM,4828.24,PETTY CASH
DEBIT,11/13/2017,ATM WITHDRAWAL                       001520  11/12160 BRIGH,-$500.00,ATM,5218.87,PETTY CASH
,,,-$701.75,,,
CHECK,11/13/2017,CHECK 1558  ,-$977.00,CHECK_PAID,3763.97,
,,,,,,
DEBIT,11/13/2017,FINE FARE LONG BRANCH NJ             019582  11/13,-$77.27,DEBIT_CARD,4740.97,MEAL AND ENTRETAINMENT
,,,,,,
DEBIT,11/13/2017,IDT*BOSS INTL CALLING 800-676-8312 NJ        11/13,-$10.00,DEBIT_CARD,4818.24,OFFICE EXPENSE
DEBIT,11/13/2017,JDI*mypcbackup.com 888-8510954 MA            11/12,-$11.94,DEBIT_CARD,5765.6,OFFICE EXPENSE
,,,-$21.94,,,
DEBIT,11/13/2017,TMOBILE*POSTPAID IVR 800-937-8997 WA         11/11,-$604.98,DEBIT_CARD,5945.86,OFFICE EXPENSE
,,,,,,
DEBIT,11/13/2017,HOBOKEN FLOORS LLC LONG BRANCH NJ    343666  11/13,-$188.88,DEBIT_CARD,5029.99,MATERIAL
DEBIT,11/13/2017,HOBOKEN FLOORS LLC LONG BRANCH NJ    343310  11/11,-$66.03,DEBIT_CARD,6550.84,MATERIAL
,,,-$254.91,,,
DEBIT,11/13/2017,BRAZILIAN MARKET LONG BRANCH NJ      084400  11/12,-$46.73,DEBIT_CARD,5718.87,PERSONAL
DEBIT,11/13/2017,COURT LIQUORS LONG BRANCH NJ                 11/10,-$34.13,DEBIT_CARD,6616.87,
,,,-$80.86,,,
DEBIT,11/13/2017,SABOR BRAZIL RESTAURAN LONG BRANCH NJ        11/12,-$13.68,DEBIT_CARD,5932.18,MEAL AND ENTRETAINANCE
DEBIT,11/13/2017,APPLEBEES 88296470045 TINTON FALLS NJ        11/11,-$131.17,DEBIT_CARD,5777.54,
DEBIT,11/13/2017,MASTER WOK EATONTOWN NJ                      11/11,-$23.47,DEBIT_CARD,5908.71,
,,,-$168.32,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
DEBIT,11/14/2017,"RETURNED ITEM FEE FOR AN UNPAID CHECK #1561 IN THE AMOUNT OF $7,400.00",-$34.00,FEE_TRANSACTION,2837.13,BANK SERVICE 
DEBIT,11/14/2017,HOME DEPOT       AUTO PYMT  722460567460061 WEB ID: CITIAUTFDR,-$100.00,ACH_DEBIT,2871.13,MATERIAL
DEBIT,11/14/2017,PROG GARDEN ST   INS PREM                   PPD ID: 9409348088,-$269.66,ACH_DEBIT,2971.13,AUTO INSU PROGRESIVE
DEBIT,11/14/2017,Online Transfer to CHK ...1290 transaction#: 6666961753 11/14,-$150.00,ACCT_XFER,3240.79,PETTY CASH
,,,,,,
DEBIT,11/14/2017,NJ BUSINESS SERVICES unknown NJ              11/13,-$128.50,DEBIT_CARD,3390.79,OFFICE EXPENSE
DEBIT,11/14/2017,GOOGLE *Domains g.co/helppay# CA             11/14,-$12.00,DEBIT_CARD,3519.29,OFFICE EXPENSE
,,,-$140.50,,,
DEBIT,11/14/2017,AMERICAN-WATER-PAYMEN 800-272-1325 NJ        11/14,-$307.95,DEBIT_CARD,3531.29,PERSONAL UTILITIES
,,,,,,
DEBIT,11/14/2017,NJT NY PENN STA   0115 NEW YORK NY           11/13,-$16.25,DEBIT_CARD,3839.24,TRANSPORTATION
DEBIT,11/14/2017,MTA MVM*N507-34 ST-HERA NEW YORK NY          11/13,-$26.25,DEBIT_CARD,3855.49,TRANSPORTATION
,,,-$42.50,,,
DEBIT,11/14/2017,E-ZPass MA 877-6277745 MA                    11/12,-$7.65,DEBIT_CARD,3881.74,TOLL 
,,,,,,
DEBIT,11/14/2017,FALVO'S LIQUORS LONG BRANCH NJ               11/12,-$22.08,DEBIT_CARD,3889.39,PERSONAL
,,,,,,
DEBIT,11/14/2017,DEFARIA CAR & TRUCK LONG BRANCH NJ           11/13,$150.00,DEBIT_CARD,3911.47,
,,,,,,
DEBIT,11/15/2017,UTICA NATIONAL   INS PREM                   PPD ID: 1150476880,"-$1,308.00",ACH_DEBIT,1493.53,WORKER COMP
CHECK,11/15/2017,CHECK 1559  ,"-$2,500.00",CHECK_PAID,2801.53,
CHECK,11/15/2017,CHECK 1560  ,"-$2,500.00",CHECK_PAID,5301.53,
,,,,,,
DEBIT,11/15/2017,LOWES #01624* GARDEN CITY NY                 11/14,-$83.53,DEBIT_CARD,7801.53,
,,,,,,
DEBIT,11/15/2017,DEFARIA HARDWOOD FLOOR LONG BRANCH NY        11/14,-$139.70,DEBIT_CARD,7885.06,MATERIAL
DEBIT,11/15/2017,DEFARIA HARDWOOD FLOOR LONG BRANCH NY        11/14,-$233.38,DEBIT_CARD,8024.76,MATERIAL
DEBIT,11/15/2017,DEFARIA HARDWOOD FLOOR LONG BRANCH NY        11/13,-$139.70,DEBIT_CARD,8258.14,MATERIAL
DEBIT,11/15/2017,DEFARIA HARDWOOD FLOOR LONG BRANCH NY        11/12,-$137.97,DEBIT_CARD,8487.91,MATERIAL
DEBIT,11/15/2017,DEFARIA HARDWOOD FLOOR LONG BRANCH NY        11/11,-$20.17,DEBIT_CARD,8625.88,MATERIAL
DEBIT,11/15/2017,DEFARIA HARDWOOD FLOOR LONG BRANCH NY        11/11,-$94.78,DEBIT_CARD,8646.05,MATERIAL
DEBIT,11/15/2017,DEFARIA HARDWOOD FLOOR LONG BRANCH NY        11/11,-$388.05,DEBIT_CARD,8740.83,MATERIAL
DEBIT,11/15/2017,DEFARIA HARDWOOD FLOOR LONG BRANCH NY        11/11,-$97.25,DEBIT_CARD,9128.88,MATERIAL
,,,"-$1,251.00",,,
DEBIT,11/15/2017,QUILL CORPORATION 800-982-3400 SC            11/14,-$90.07,DEBIT_CARD,8397.84,OFFICE SUPPLY
,,,,,,
DEBIT,11/15/2017,THE SELLING FAMILY 2099690703 CA             11/14,$99.00,DEBIT_CARD,9226.13,PERSONAL
CREDIT,11/15/2017,ATM CHECK DEPOSIT 11/15 160 BRIGHTON AVE LONG BRANCH NJ,"$6,290.00",ATM_DEPOSIT,9127.13,
,,,,,,
DEBIT,11/16/2017,DEFARIA CAR & TRUCK LONG BRANCH NJ           11/15,-$62.09,DEBIT_CARD,970.39,
DEBIT,11/16/2017,DEFARIA CAR & TRUCK LONG BRANCH NJ           11/15,-$77.61,DEBIT_CARD,1032.48,
,,,-$139.70,,,
DEBIT,11/16/2017,DS SERVICES STANDARD C 800-4928377 GA        11/15,-$38.29,DEBIT_CARD,932.1,
DEBIT,11/16/2017,US TREASURY TAX PA 615-730-6367 TN           11/15,-$376.00,DEBIT_CARD,1110.09,TAX
DEBIT,11/16/2017,PAYUSATAX CONV. FE 615-730-6367 TN           11/15,-$7.44,DEBIT_CARD,1486.09,TAX FEE
,,,-$383.44,,,
DEBIT,11/17/2017,"INSUFFICIENT FUNDS FEE FOR CHECK #1563 IN THE AMOUNT OF $3,000.00",-$34.00,FEE_TRANSACTION,-151.99,BANK SERVICE CHARGE
DEBIT,11/17/2017,NON-CHASE ATM FEE-WITH,-$2.50,FEE_TRANSACTION,-117.99,BANK SERVICE CHARGE
,,,-$36.50,,,
CHECK,11/17/2017,CHECK 1563  ,"-$3,000.00",CHECK_PAID,-115.49,
,,,,,,
DEBIT,11/17/2017,ATM WITHDRAWAL                       001587  11/17160 BRIGH,-$140.00,ATM,2884.51,PETTY CASH
DEBIT,11/17/2017,NON-CHASE ATM WITHDRAW               080997  11/17532 BROAD,-$102.00,ATM,3024.51,PETTY CASH
,,,-$242.00,,,
DEBIT,11/17/2017,HOBOKEN FLOORS LLC LONG BRANCH NJ    107188  11/17,-$49.64,DEBIT_CARD,3126.51,MATERIAL
,,,,,,
DEBIT,11/17/2017,NJT NY PENN STA   0117 NEW YORK NY           11/16,-$16.25,DEBIT_CARD,3176.15,TRANSPORTATION 
DEBIT,11/17/2017,DEFARIA CAR & TRUCK LONG BRANCH NJ           11/16,-$139.70,DEBIT_CARD,3192.4,MATERIAL
CREDIT,11/17/2017,Online Transfer from CHK ...8235 transaction#: 6678288570,"$2,400.00",ACCT_XFER,3332.1,PAYROLL EXPENSE
,,,,,,
DEBIT,11/20/2017,INSUFFICIENT FUNDS FEE FOR A $96.13 RECURRING CARD PURCHASE - DETAILS:       1119ABC*Gold s Gym 888-8279262 NJ        04563310022408425                                                                                           01,-$34.00,FEE_TRANSACTION,-752.15,BANK SERVICE CHARGE
DEBIT,11/20/2017,"RETURNED ITEM FEE FOR AN UNPAID CHECK #1569 IN THE AMOUNT OF $4,500.00",-$34.00,FEE_TRANSACTION,-718.15,BANK SERVICE CHARGE
DEBIT,11/20/2017,"INSUFFICIENT FUNDS FEE FOR CHECK #1562 IN THE AMOUNT OF $4,649.00",-$34.00,FEE_TRANSACTION,-684.15,BANK SERVICE CHARGE
,,,-$102.00,,,
DEBIT,11/20/2017,ABC*Gold s Gym 888-8279262 NJ                11/19,-$96.13,DEBIT_CARD,-650.15,PERSONAL
,,,,,,
CHECK,11/20/2017,CHECK 1562  ,"-$4,649.00",CHECK_PAID,-554.02,
DEBIT,11/20/2017,Online Payment 6602663063 To DRIVE FINANCIAL 11/20,-$422.35,BILLPAY,4094.98,VAN PAYMENT
,,,,,,
DEBIT,11/20/2017,DEFARIA CAR & TRUCK LONG BRANCH NJ           11/19,-$77.61,DEBIT_CARD,4517.33,VAN RENTAL
DEBIT,11/20/2017,DEFARIA CAR & TRUCK LONG BRANCH NJ           11/18,-$77.61,DEBIT_CARD,4594.94,VAN RENTAL
DEBIT,11/20/2017,DEFARIA CAR & TRUCK LONG BRANCH NJ           11/17,-$77.61,DEBIT_CARD,4688.8,VAN RENTAL
,,,-$232.83,,,
DEBIT,11/20/2017,NJT NY PENN STA   0114 NEW YORK NY           11/17,-$16.25,DEBIT_CARD,4672.55,TRANSPORTATION
DEBIT,11/20/2017,NJ TRANSIT LONG BRANCH LONG BRANCH NJ        11/17,-$3.00,DEBIT_CARD,4784.88,TRANSPORTATION
,,,-$19.25,,,
DEBIT,11/20/2017,BEACON PAINT AND HARDWA NEW YORK NY          11/17,-$18.47,DEBIT_CARD,4766.41,MATERIAL 
,,,,,,
DEBIT,11/20/2017,DEFARIA HARDWOOD FLOOR LONG BRANCH NY        11/17,-$102.68,DEBIT_CARD,4787.88,MATERIAL
DEBIT,11/20/2017,DEFARIA HARDWOOD FLOOR LONG BRANCH NY        11/15,-$117.45,DEBIT_CARD,4890.56,
,,,-$220.13,,,
DSLIP,11/20/2017,DEPOSIT  ID NUMBER 464504,"$5,160.00",DEPOSIT,5008.01,
,,,,,,
CHECK,11/21/2017,CHECK 1564  ,"-$1,050.00",CHECK_PAID,2435.07,
,,,,,,
DEBIT,11/21/2017,DEFARIA CAR & TRUCK LONG BRANCH NJ           11/20,$155.22,DEBIT_CARD,3485.07,VAN RENTAL 
CREDIT,11/21/2017,ATM CHECK DEPOSIT 11/21 1025 MADISON AVE NEW YORK NY,"$4,082.00",ATM_DEPOSIT,3329.85,DEPOSIT
,,,,,,
DEBIT,11/22/2017,Financial Management Software: Monthly Service Fee,-$9.95,FEE_TRANSACTION,15617.81,office expense
CHECK,11/22/2017,CHECK 1565  ,-$950.00,CHECK_PAID,15627.76,DEPOSIT
,,,,,,
DEBIT,11/22/2017,FINE FARE LONG BRANCH NJ             841694  11/22,-$14.82,DEBIT_CARD,16577.76,MEAL PERSONAL
DEBIT,11/22/2017,SAVE RITE LIQUORS OAKHURST NJ        201566  11/22,-$86.52,DEBIT_CARD,16592.58,MEAL PERSONAL
DEBIT,11/22/2017,FINE FARE LONG BRANCH NJ             854436  11/22,-$155.97,DEBIT_CARD,17079.1,MEAL PERSONAL
,,,-$257.31,,,
DEBIT,11/22/2017,ATM WITHDRAWAL                       005900  11/22160 BRIGH,-$400.00,ATM,16679.1,PETTY CASH
DEBIT,11/22/2017,ATM WITHDRAWAL                       005623  11/22160 BRIGH,-$200.00,ATM,17235.07,PETTY CASH
,,,-$600.00,,,
DSLIP,11/22/2017,DEPOSIT  ID NUMBER  90916,"$15,000.00",DEPOSIT,17435.07,
,,,,,,
DEBIT,11/24/2017,ADP PAYROLL FEES ADP - FEES 789084861332824 CCD ID: 9659605001,-$40.00,ACH_DEBIT,942.77,ADP PAY ROLL EXPENSE
,,,,,,
CHECK,11/24/2017,CHECK 1573  ,"-$1,850.00",CHECK_PAID,982.77,
CHECK,11/24/2017,CHECK 1574  ,"-$2,108.66",CHECK_PAID,2832.77,
CHECK,11/24/2017,CHECK 1571  ,"-$3,500.00",CHECK_PAID,4941.43,
CHECK,11/24/2017,CHECK 1570  ,"-$4,630.00",CHECK_PAID,8441.43,
,,,,,,
DEBIT,11/24/2017,Online Transfer to CHK ...8235 transaction#: 6693456268 11/24,-$500.00,ACCT_XFER,13071.43,
DEBIT,11/24/2017,NNT FAST BREAK FOOD68 FOREST HILLS NY045284  11/24,-$40.37,DEBIT_CARD,13571.43,
DEBIT,11/24/2017,NORDSTROM RACK # 550 G BROOKLYN NY   500770  11/24,-$130.62,DEBIT_CARD,13611.8,
DEBIT,11/24/2017,Online Transfer to CHK ...1290 transaction#: 6690753591 11/24,"-$1,000.00",ACCT_XFER,13742.42,
,,,,,,
DEBIT,11/24/2017,DEFARIA CAR & TRUCK LONG BRANCH NJ           11/23,-$103.48,DEBIT_CARD,14742.42,
DEBIT,11/24/2017,DEFARIA CAR & TRUCK LONG BRANCH NJ           11/22,-$77.61,DEBIT_CARD,15244.46,
,,,,,,
DEBIT,11/24/2017,SAVE RITE LIQUORS OAKHURST NJ        746356  11/23,-$49.13,DEBIT_CARD,14845.9,MEALS PERSONAL
DEBIT,11/24/2017,BRAZILIAN MARKET LONG BRANCH NJ              11/23,-$56.90,DEBIT_CARD,14895.03,
DEBIT,11/24/2017,DUTCH PRIME FOODS LONG BRANCH NJ             11/22,-$35.90,DEBIT_CARD,14951.93,
,,,-$141.93,,,
DEBIT,11/24/2017,NJT NY PENN STA   5098 NEW YORK NY           11/22,-$48.75,DEBIT_CARD,14987.83,TRANSPORTATION
DEBIT,11/24/2017,MTA MVM*R250-86 ST NEW YORK NY               11/22,-$20.00,DEBIT_CARD,15036.58,
,,,-$68.75,,,
DEBIT,11/24/2017,COMCAST 800-COMCAST NJ                       11/23,-$103.01,DEBIT_CARD,15056.58,OFFICE EXPENSE
,,,,,,
DEBIT,11/24/2017,DEFARIA HARDWOOD FLOOR LONG BRANCH NY        11/22,-$84.87,DEBIT_CARD,15159.59,MATERIAL
DEBIT,11/24/2017,DEFARIA HARDWOOD FLOOR LONG BRANCH NY        11/22,-$221.76,DEBIT_CARD,15322.07,MATERIAL
DEBIT,11/24/2017,DEFARIA HARDWOOD FLOOR LONG BRANCH NY        11/21,-$39.84,DEBIT_CARD,15543.83,MATERIAL
DEBIT,11/24/2017,DEFARIA HARDWOOD FLOOR LONG BRANCH NY        11/21,-$34.14,DEBIT_CARD,15583.67,MATERIAL
,,,-$380.61,,,
DEBIT,11/27/2017,NON-CHASE ATM FEE-WITH,-$2.50,FEE_TRANSACTION,99.23,Bank fee
,,,,,,
,,,,,,
DEBIT,11/27/2017,ATM WITHDRAWAL                       007852  11/27160 BRIGH,-$100.00,ATM,101.73,PETTY CASH
DEBIT,11/27/2017,ATM WITHDRAWAL                       007395  11/26160 BRIGH,-$140.00,ATM,271.45,PETTY CASH
DEBIT,11/27/2017,NON-CHASE ATM WITHDRAW               021747  11/2537 STATE,-$21.00,ATM,453.46,PETTY CASH
,,,-$240.00,,,
DEBIT,11/27/2017,SUPER FOODTOWN #269 OCEAN NJ         992945  11/27,-$66.73,DEBIT_CARD,201.73,
,,,,,,
DEBIT,11/27/2017,UBER   *TRIP NRWAH 800-592-8996 CA           11/27,-$2.99,DEBIT_CARD,268.46,
,,,,,,
,,,,,,
DEBIT,11/27/2017,FINE FARE LONG BRANCH NJ             191173  11/26,-$22.01,DEBIT_CARD,411.45,PERSONAL
DEBIT,11/27/2017,I NAILS EATONTOWN NJ                         11/25,-$85.00,DEBIT_CARD,474.46,PERSONAL
,,,-$107.01,,,
DEBIT,11/27/2017,EXXONMOBIL    47982780 EATONTOWN NJ          11/25,-$20.00,DEBIT_CARD,433.46,AUTO GAS
,,,,,,
,,,,,,
DEBIT,11/27/2017,Online Transfer to CHK ...9516 transaction#: 6694990808 11/27,-$100.00,ACCT_XFER,559.46,PRETTY CASH
DEBIT,11/27/2017,Online Transfer to CHK ...9516 transaction#: 6694920934 11/27,-$120.00,ACCT_XFER,659.46,PRETTY CASH
,,,-$220.00,,,
DEBIT,11/27/2017,ULTIMATE USED AUTO PART BROOKLYN NY          11/24,-$163.31,DEBIT_CARD,779.46,
,,,,,,
DEBIT,11/28/2017,AMZ_STORECRD_PMT PAYMENT    604578108685781 PPD ID: 9069872000,-$100.00,ACH_DEBIT,1928.39,
DEBIT,11/28/2017,ATM WITHDRAWAL                       005895  11/284413 US H,-$100.00,ATM,2028.39,
,,,,,,
DEBIT,11/28/2017,6004 FOREVER 21 FREEHOLD NJ          754993  11/28,-$12.90,DEBIT_CARD,2128.39,PERSONAL
DEBIT,11/28/2017,WALGREENS STORE 2282 GARDEN CITY P NY926932  11/28,-$36.36,DEBIT_CARD,2141.29,PERSONAL
,,,-$49.26,,,
DEBIT,11/28/2017,UBER   *TRIP X4L6R 800-592-8996 CA           11/27,-$5.33,DEBIT_CARD,2177.65,TRANSPORTATION
DEBIT,11/28/2017,NJT LONG BRANCH   0660 NEWARK NJ             11/27,-$16.25,DEBIT_CARD,2182.98,
,,,-$21.58,,,
CREDIT,11/28/2017,ATM CHECK DEPOSIT 11/28 2360 JERICHO TPKE GARDEN CITY P NY,"$2,100.00",ATM_DEPOSIT,2199.23,
,,,,,,
DEBIT,11/29/2017,"INSUFFICIENT FUNDS FEE FOR CHECK #1567 IN THE AMOUNT OF $1,260.00",-$34.00,FEE_TRANSACTION,-329.24,
,,,,,,
CHECK,11/29/2017,CHECK 1567  ,"-$1,260.00",CHECK_PAID,-295.24,
DEBIT,11/29/2017,CHARLOTTE RUSSE EATONTOWN NJ         035808  11/29,-$102.95,DEBIT_CARD,964.76,PERSONAL
DEBIT,11/29/2017,LORD & TAYLOR #057 EATONTOWN NJ      801180  11/29,-$41.70,DEBIT_CARD,1067.71,PERSONAL
,,,-$144.65,,,
DEBIT,11/29/2017,ATM WITHDRAWAL                       008564  11/29160 BRIGH,-$200.00,ATM,1109.41,PETTY CASH
DEBIT,11/29/2017,ATM WITHDRAWAL                       008345  11/29160 BRIGH,-$200.00,ATM,1309.41,PETTY CASH
DEBIT,11/29/2017,ATM WITHDRAWAL                       008305  11/29160 BRIGH,-$200.00,ATM,1684.41,PETTY CASH
,,,-$600.00,,,
DEBIT,11/29/2017,Online Transfer to CHK ...1290 transaction#: 6702797383 11/29,-$175.00,ACCT_XFER,1509.41,PAYROLL EXPENSE
,,,,,,
DEBIT,11/29/2017,DUTCH PRIME FOODS LONG BRANCH NJ             11/28,-$15.68,DEBIT_CARD,1884.41,MEAL PERSONAL
DEBIT,11/29/2017,WENDY'S 5770 MANALAPAN NJ                    11/28,-$8.30,DEBIT_CARD,1920.09,
,,,-$23.98,,,
DEBIT,11/29/2017,EXXONMOBIL    47970728 EATONTOWN NJ          11/28,-$20.00,DEBIT_CARD,1900.09,GAS
,,,,,,
DEBIT,11/30/2017,INSUFFICIENT FUNDS FEE FOR A $7.95 RECURRING CARD PURCHASE - DETAILS:       1130J2 *METROFAX 888-929-4141 CA         04563310022408425                                                                                           00,-$34.00,FEE_TRANSACTION,-1289.65,Bank fee
DEBIT,11/30/2017,INSUFFICIENT FUNDS FEE FOR A $161.74 CARD PURCHASE WITH PIN - DETAILS: 4062021130MODELL'S #157 EATONTOWN NJ           04563310023923950                                                                                           00,-$34.00,FEE_TRANSACTION,-1255.65,Bank fee
DEBIT,11/30/2017,INSUFFICIENT FUNDS FEE FOR A $50.82 CARD PURCHASE - DETAILS:       1129CHILI'S EATONTOWN EATONTOWN NJ       04563310023923950                                                                                           90,-$34.00,FEE_TRANSACTION,-1221.65,Bank fee
