Details,Posting Date,Description,Amount,
DEBIT,12/15/2017,Online Transfer to CHK ...9516 transaction#: 6749853822 12/15,-310,petty cash
DEBIT,12/15/2017,Online Transfer to SAV ...1046 transaction#: 6749852424 12/15,-390,petty cash
,,,,
DEBIT,12/15/2017,PEZAO CASA DE CARNES & LONG BRANCH NJ618811  12/15,-30.33,personal 
DEBIT,12/15/2017,DEFARIA CAR & TRUCK LONG BRANCH NJ           12/15,-77.61,van rental 
DEBIT,12/15/2017,CONTES CAR WASH INC LONG BRANCH NJ           12/14,-18.12,car auto expenses
DEBIT,12/15/2017,CRANBERRY LONG ISLAND C NY                   12/14,-11.45,meals entratainment
,,,,
DSLIP,12/15/2017,DEPOSIT  ID NUMBER 464515,13450,
,,,,
,,,,
DEBIT,12/18/2017,RETURNED ITEM FEE FOR AN UNPAID CHECK #1586 IN THE AMOUNT OF $880.00,-34,
DEBIT,12/18/2017,INSUFFICIENT FUNDS FEE FOR CHECK #1594 IN THE AMOUNT OF $970.00,-34,
DEBIT,12/18/2017,"INSUFFICIENT FUNDS FEE FOR CHECK #1588 IN THE AMOUNT OF $1,000.00",-34,
DEBIT,12/18/2017,NON-CHASE ATM FEE-WITH,-2.5,
,,,,
CHECK,12/18/2017,CHECK 1594  ,-970,Check
CHECK,12/18/2017,CHECK 1588  ,-1000,Check
CHECK,12/18/2017,CHECK 1590  ,-1371.88,Check
CHECK,12/18/2017,CHECK 1593  ,-4500,Check
,,,,
DEBIT,12/18/2017,ATM WITHDRAWAL                       006780  12/18160 BRIGH,-200,petty Cash
DEBIT,12/18/2017,ATM WITHDRAWAL                       006739  12/18160 BRIGH,-300,petty Cash
DEBIT,12/18/2017,NON-CHASE ATM WITHDRAW               284702  12/17570 JOLIN,-101.75,petty Cash
DEBIT,12/18/2017,ATM WITHDRAWAL                       008751  12/16160 BRIGH,-100,petty Cash
,,,,
DEBIT,12/18/2017,WALGREENS STORE 216 WEST LONG BRA NJ 001739  12/18,-39.99,
DEBIT,12/18/2017,SCALA'S PIZZERIA 732-2228728 NJ              12/17,-50.5,
DEBIT,12/18/2017,BURGER KING #13691 EATONTOWN NJ              12/18,-42.07,
DEBIT,12/18/2017,FINE FARE LONG BRANCH NJ                     12/16 Purchase $22.35 Cash Back $50.00,-72.35,
DEBIT,12/18/2017,RAINBOW LIQUORS LONG BRANCH NJ               12/15,-48.07,
,,,-252.98,personal
DEBIT,12/18/2017,DEFARIA CAR & TRUCK LONG BRANCH NJ           12/17,-77.61,Van rental
,,,,
DEBIT,12/18/2017,Online Transfer to CHK ...8235 transaction#: 6750649381 12/18,-200,payroll expense
DEBIT,12/18/2017,SPOKEO *8006994264 800-699-4264 CA           12/16,-9.95,office expense
DEBIT,12/18/2017,TMOBILE POSTPAID WEB 800-937-8997 WA         12/16,-470.02,office expense
,,,,
,,,,
DEBIT,12/18/2017,DEFARIA HARDWOOD FLOOR LONG BRANCH NY        12/14,-122.31,material
DEBIT,12/18/2017,DEFARIA HARDWOOD FLOOR LONG BRANCH NY        12/12,-98.88,material
DEBIT,12/18/2017,DEFARIA HARDWOOD FLOOR LONG BRANCH NY        12/12,-41.2,material
DEBIT,12/18/2017,DEFARIA HARDWOOD FLOOR LONG BRANCH NY        12/11,-121.55,material
,,,,
,,,,
DEBIT,12/19/2017,INSUFFICIENT FUNDS FEE FOR A $234.00 CARD PURCHASE - DETAILS:       1218MSB*NJSVS 609-292-6500 NJ            04563310022408425                                                                                           01,-34,Bank service charge
DEBIT,12/19/2017,INSUFFICIENT FUNDS FEE FOR A $138.00 CARD PURCHASE - DETAILS:       1218NYS DMV TVB 518-4741575 NY           04563310022408425                                                                                           01,-34,Bank service charge
DEBIT,12/19/2017,INSUFFICIENT FUNDS FEE FOR A $166.95 CARD PURCHASE - DETAILS:       1218AMERICAN-WATER-PAYMEN 800-272-1325 NJ04563310022408425                                                                                           01,-34,Bank service charge
,,,-102,
DEBIT,12/19/2017,MSB*NJSVS 609-292-6500 NJ                    12/18,-234,
,,,,
DEBIT,12/19/2017,NYS DMV TVB 518-4741575 NY                   12/18,-138,summons
DEBIT,12/19/2017,AMERICAN-WATER-PAYMEN 800-272-1325 NJ        12/18,-166.95,utilities
,,,,
,,,,
DEBIT,12/20/2017,INSUFFICIENT FUNDS FEE FOR A $185.77 CARD PURCHASE - DETAILS:       1218DEFARIA HARDWOOD FLOOR LONG BRANCH NY04563310023923950                                                                                           05,-34,Bank service charge
DEBIT,12/20/2017,INSUFFICIENT FUNDS FEE FOR A $7.00 CARD PURCHASE - DETAILS:       1218touch of italy amityville NY         04563310023923950                                                                                           05,-34,
DEBIT,12/20/2017,INSUFFICIENT FUNDS FEE FOR A $29.40 CARD PURCHASE - DETAILS:       1218DEFARIA HARDWOOD FLOOR LONG BRANCH NY04563310023923950                                                                                           05,-34,
DEBIT,12/20/2017,INSUFFICIENT FUNDS FEE FOR A $24.84 CARD PURCHASE - DETAILS:       1216DEFARIA HARDWOOD FLOOR LONG BRANCH NY04563310023923950                                                                                           01,-34,
DEBIT,12/20/2017,INSUFFICIENT FUNDS FEE FOR A $369.52 CARD PURCHASE - DETAILS:       1216DEFARIA HARDWOOD FLOOR LONG BRANCH NY04563310023923950                                                                                           01,-34,
DEBIT,12/20/2017,INSUFFICIENT FUNDS FEE FOR A $86.37 CARD PURCHASE - DETAILS:       1216DEFARIA HARDWOOD FLOOR LONG BRANCH NY04563310023923950                                                                                           01,-34,
,,,-204,
DEBIT,12/20/2017,DEFARIA HARDWOOD FLOOR LONG BRANCH NY        12/18,-185.77,material
DEBIT,12/20/2017,DEFARIA HARDWOOD FLOOR LONG BRANCH NY        12/18,-29.4,
DEBIT,12/20/2017,DEFARIA HARDWOOD FLOOR LONG BRANCH NY        12/16,-24.84,
DEBIT,12/20/2017,DEFARIA HARDWOOD FLOOR LONG BRANCH NY        12/16,-369.52,
DEBIT,12/20/2017,DEFARIA HARDWOOD FLOOR LONG BRANCH NY        12/16,-86.37,
,,,-695.9,
DEBIT,12/20/2017,touch of italy amityville NY                 12/18,-7,meal and entretaiment
,,,,
DEBIT,12/22/2017,Financial Management Software: Monthly Service Fee,-9.95,office expense
,,,,
,,,,
DEBIT,12/26/2017,EXTENDED OVERDRAFT FEE,-15,Bank service charge
DEBIT,12/26/2017,INSUFFICIENT FUNDS FEE FOR CHECK #1589 IN THE AMOUNT OF $500.00,-34,
DEBIT,12/26/2017,"INSUFFICIENT FUNDS FEE FOR CHECK #1596 IN THE AMOUNT OF $1,750.00",-34,
,,,,
CHECK,12/26/2017,CHECK 1589  ,-500,Check
CHECK,12/26/2017,CHECK 1596  ,-1750,Check
CHECK,12/26/2017,CHECK 1595  ,-1750,Check
CHECK,12/26/2017,CHECK 1597  ,-6000,Check
,,,,
DEBIT,12/26/2017,4974 Dominos Pizza 731-776-8887 NJ           12/25,-27.21,food and entretainment
DEBIT,12/26/2017,DEFARIA CAR & TRUCK LONG BRANCH NJ           12/24,-155.22,material 
,,,,
DEBIT,12/26/2017,ATM WITHDRAWAL                       009318  12/24160 BRIGH,-560,petty cash
DEBIT,12/26/2017,Online Transfer to SAV ...1046 transaction#: 6769495353 12/26,-1750,payroll expense
,,,,
DSLIP,12/26/2017,DEPOSIT  ID NUMBER 266303,15000,
,,,,
,,,,
DEBIT,12/27/2017,INSUFFICIENT FUNDS FEE FOR A $308.16 CARD PURCHASE WITH PIN - DETAILS: 3069451227GODIVA AUTO REPAIRS LL LONG BRANCH NJ04563310023923950                                                                                           00,-34,Bank service charge
DEBIT,12/27/2017,INSUFFICIENT FUNDS FEE FOR A $100.00 ITEM - DETAILS: Online Transfer to CHK ...8235 transaction#: 6774600616,-34,
DEBIT,12/27/2017,INSUFFICIENT FUNDS FEE FOR A $59.95 CARD PURCHASE - DETAILS:       1226ORC*Credit One 877-8253242 NV        04563310022408425                                                                                           01,-34,
DEBIT,12/27/2017,INSUFFICIENT FUNDS FEE FOR A $184.95 CARD PURCHASE - DETAILS:       1226ORC*Credit One 877-8253242 NV        04563310022408425                                                                                           01,-34,
,,,-136,
DEBIT,12/27/2017,GODIVA AUTO REPAIRS LL LONG BRANCH NJ306945  12/27,-308.16,auto expenses
DEBIT,12/27/2017,Online Transfer to CHK ...8235 transaction#: 6774600616 12/27,-100,payroll expense
,,,,
DEBIT,12/27/2017,ORC*Credit One 877-8253242 NV                12/26,-59.95,
DEBIT,12/27/2017,ORC*Credit One 877-8253242 NV                12/26,-184.95,
,,,,
,,,,
DEBIT,12/28/2017,INSUFFICIENT FUNDS FEE FOR A $89.64 ITEM - DETAILS: AMZ_STORECRD_PMT PAYMENT    604578108685781 PPD ID: 9069872000,-34,Bank service charge
DEBIT,12/28/2017,INSUFFICIENT FUNDS FEE FOR A $115.63 RECURRING CARD PURCHASE - DETAILS:       1227ABC*Gold s Gym 888-8279262 NJ        04563310022408425                                                                                           01,-34,
DEBIT,12/28/2017,INSUFFICIENT FUNDS FEE FOR A $149.83 CARD PURCHASE - DETAILS:       1227QUILL CORPORATION 800-982-3400 SC    04563310022408425                                                                                           01,-34,
,,,-102,
DEBIT,12/28/2017,AMZ_STORECRD_PMT PAYMENT    604578108685781 PPD ID: 9069872000,-89.64,office expense
,,,,
DEBIT,12/28/2017,ABC*Gold s Gym 888-8279262 NJ                12/27,-115.63,personal 
,,,,
DEBIT,12/28/2017,QUILL CORPORATION 800-982-3400 SC            12/27,-149.83,office expense
,,,,
,,,,
DEBIT,12/29/2017,ADP PAYROLL FEES ADP - FEES 2RKKR   5666377 CCD ID: 9659605001,-30.68,
DEBIT,12/29/2017,ADP PAYROLL FEES ADP - FEES 789084866046753 CCD ID: 9659605001,-40,
,,,,
DSLIP,12/29/2017,DEPOSIT  ID NUMBER 464509,12000,
